"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11077","UI Assignment","chromium","2026-02-27","passed","2026-02-27","","bookstore.spec.js","",""
"","13403","UI Assignment","firefox","2026-02-27","passed","2026-02-27","","bookstore.spec.js","",""
